"","Region","Dataset","TSid","Archive","Category","Proxy","Season","Interp","Direction","PublicationDOI","SourceURL","AgeRange","Resolution","AgeControlN","AgeControlMax","Lat","Lon"
"270","MED","Limnoncave.Peckover.2019","S2LR8AEiambOvz","Speleothem","Speleothem (δ13C)","d13C","Annual","P-E","negative","https://doi.org/10.1016/j.palaeo.2019.109252","http://dx.doi.org/10.17864/1947.256","12 - 6.7",14,"7","1183",37.96,22.14
"271","MED","LisanDeadSea.Vogel.1972","OLS_Rz4NEhuh5D0","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",31.5,35.5
"272","MED","LS07EAGO","LS07EAGO01","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.1002/jqs.1062","https://doi.org/10.5194/essd-12-2261-2020","10.6 - 0.2",74,"8","2009.3",37.12,29.6
"273","MED","Molinoscave.Moreno.2017","S2LRZ8aI3nEQ7d","Speleothem","Speleothem (δ13C)","d13C","Winter","P-E","negative","https://doi.org/10.1017/qua.2017.39","http://dx.doi.org/10.17864/1947.256","11.3 - 3.3",15,"10","1482.85699584",40.79,-0.45
"274","MED","MS21PC.Hennekam.2020","WEB-f9320-c765-469f-b4ee-6276b","MarineSediment","Other (not calibrated)","Ti/Al","Annual","P-E","negative","https://doi.org/10.1029/2020GL089183","https://doi.org/10.1594/PANGAEA.923197","12 - 0.2",7,"Not Available","Not Available",32.34,31.65
"275","MED","Nar.Roberts.2016","WEB88fe721c","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.1002/jqs.2852","https://doi.org/10.1016/j.quascirev.2015.07.023","12 - 0",1,"9","4637",38.34,34.46
"276","MED","Ospitale.Watson.1996Legacy","lcR3bsuKx5tY1eHYdiF","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Watson, C.S., 1996. The vegetational history of the northern Apennines, Italy: information from three new sequences and a review of regional vegetational change. Journal of Biogeography, 23(6), pp.805-841.","https://doi.pangaea.de/10.1594/PANGAEA.930512","6.3 - 0.4",95,"4","2600",44.16,10.78
"277","MED","Padul.Camuera.2022","WEB-c8f6e-2665-4cfa-846a-481f4","LakeSediment","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1038/s41598-022-12047-1","https://doi.org/10.1594/PANGAEA.940006","12 - 0",53,"Not Available","Not Available",37.01,-3.6
"278","MED","Padul.Camuera.2022","WEB-9a7cd-c928-4876-9177-0f783","LakeSediment","Pollen (calibrated)","pollen","Winter+","P","positive","https://doi.org/10.1038/s41598-022-12047-1","https://doi.org/10.1594/PANGAEA.940006","12 - 0",53,"Not Available","Not Available",37.01,-3.6
"279","MED","Padul.Camuera.2022","WEB-a01b8-a050-4ceb-b3c1-e41a3","LakeSediment","Pollen (calibrated)","pollen","Summer+","P","positive","https://doi.org/10.1038/s41598-022-12047-1","https://doi.org/10.1594/PANGAEA.940006","12 - 0",53,"Not Available","Not Available",37.01,-3.6
"280","MED","Pamvotis.Frogley.2001","WEB47e28fe1","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.1046/j.1365-2699.2001.00582.x","https://www.ncei.noaa.gov/access/paleo-search/study/24450","11.6 - 1.3",118,"Not Available","Not Available",39.65,20.92
"281","MED","PavullonelFrignano.Vescovi.2010","lcRDPE8R2Ll9LGh8P0b","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Vescovi, E., Kaltenrieder, P. and Tinner, W., 2010. Late-Glacial and Holocene vegetation history of Pavullo nel Frignano (Northern Apennines, Italy). Review of Palaeobotany and Palynology, 160(1-2), pp.32-45.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",280,"9","2170",44.32,10.84
"282","MED","Pergusa.Zanchetta.2007","WEB4686e3e6","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.5194/cp-9-1969-2013","http://dx.doi.org/10.1007%2Fs10933-006-9070-1","12 - 1.3",267,"9","1615",37.52,14.3
"283","MED","Prespa.Leng.2013","WEB3f7db8eb","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.1016/j.quascirev.2012.07.015","Not Available","9.8 - 0",141,"12","2908",40.88,21.02
"284","MED","PS009PC.Hennekam.2014","WEB-cff14-bd3c-4764-98e8-65981","MarineSediment","Other (not calibrated)","d18O","Annual","P-E","negative","https://doi.org/10.1002/2013PA002553","https://doi.org/10.1594/PANGAEA.875639","12 - 0",40,"7","2840",32.13,34.41
"285","MED","SaCurcurica.Beffa.2016","lcRoGFzRew9WTAEknaI","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Beffa, G., Pedrotta, T., Colombaroli, D., Henne, P.D., van Leeuwen, J.F., Susstrunk, P., Kaltenrieder, P., Adolf, C., Vogel, H., Pasta, S. and Anselmetti, F.S., 2016. Vegetation and fire history of coastal north-eastern Sardinia (Italy) under changing Holocene climates and land use. Vegetation History and Archaeobotany, 25(3), pp.271-289.","https://doi.pangaea.de/10.1594/PANGAEA.930512","8.3 - 0",80,"9","1880",40.46,9.79
"286","MED","SaladaPequena.author.1111","lcRNeTKafVV1Glibo2e","Lake","Pollen (calibrated)","pollen","Annual","P","positive","noPubOnRecord","https://doi.pangaea.de/10.1594/PANGAEA.930512","4.7 - 0",100,"3","1900",41.03,-0.22
"287","MED","Shkodra.Zanchetta.2012","WEB53be5f2c","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P","negative","https://doi.org/10.1002/jqs.2563","https://www.ncei.noaa.gov/access/paleo-search/study/24450","4.5 - 0",26,"7","1455",42.17,19.32
"288","MED","SidiAli.Zielhofer.2019","WEB-fc8d9-7b8f-44c7-b4cb-5a4a1","LakeSediment","Lake Sediment (δ18O)","d18O","Winter","P","negative","https://doi.org/10.5194/cp-15-463-2019","https://doi.org/10.13140/RG.2.2.27630.25920","12 - 0",58,"33","1437",33.07,-5
"289","MED","SkalaMarioncave.Psomiadis.2018","S2LR6gyBxnVNNh","Speleothem","Speleothem (δ18O)","d18O","Annual","P","negative","https://doi.org/10.1016/j.palaeo.2017.10.021","http://dx.doi.org/10.17864/1947.256","5.5 - 1.5",15,"6","877.9",40.64,24.51
"290","MED","Soreqcave.Orland.2009","S2LR8DePB64lKW","Speleothem","Speleothem (δ18O)","d18O","Annual","P","negative","https://doi.org/10.1016/j.yqres.2008.08.005","http://dx.doi.org/10.17864/1947.256","12 - 0",30,"7","10210",31.76,35.02
"291","MED","Straldzhamire.Connor.2013","lcR0aDYyLrxCMKEkXI7","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Tonkov, S., Bozilova, E. and Jungner, H., 2009. 7. Mire Straldza (Southeastern Bulgaria): Late Holocene vegetation history. Grana, 48(3), pp.235-237.","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.9 - 3.9",245,"6","3270",42.63,26.78
"292","MED","Straldzhamire.Tonkov.2009Legacy","lcRyf5ECfdUuscy1RT4","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Tonkov, S., Bozilova, E. and Jungner, H., 2009. 7. Mire Straldza (Southeastern Bulgaria): Late Holocene vegetation history. Grana, 48(3), pp.235-237.","https://doi.pangaea.de/10.1594/PANGAEA.930512","4.4 - 0",150,"3","2420",42.63,26.78
"293","MED","TourbieredelaLande.Pulido.2006","lcRZgqRfwDWqi1fNgxF","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Pulido, M., 2006. Consequenses de l'anthropisation sur la dynamique postglaciaire de la vegetation dans le sud du Massif Central, France. [Anthropogenic impact on the postglacial vegetation dynamics in South Massif Central, France]. Doctoral dissertation. Universite d'Aix-Marseille, Marseille, France.","https://doi.pangaea.de/10.1594/PANGAEA.930512","5.2 - 0",170,"5","2220",43.57,2.97
"294","MED","TourbiereduPeschio.Pulido.2006","lcRw42ai03YAwD4En3b","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Pulido, M., 2006. Consequenses de l'anthropisation sur la dynamique postglaciaire de la vegetation dans le sud du Massif Central, France. [Anthropogenic impact on the postglacial vegetation dynamics in South Massif Central, France]. Doctoral dissertation. Universite d'Aix-Marseille, Marseille, France.","https://doi.pangaea.de/10.1594/PANGAEA.930512","5.8 - 0.1",150,"4","1790",44.45,3.6
"295","MED","TschokljovoMarsh.Bozilova.1985","lcRscdnEDYcOz51Mjsk","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Bozilova, E. and Tonkov, S., 1985. Vegetation development in the mountainous areas of southwestern Bulgaria. I. Palynological investigations and reconstruction of past vegetation. Ecologia mediterranea, 11(1), pp.33-37.","https://doi.pangaea.de/10.1594/PANGAEA.930512","8.8 - 0.8",250,"6","2130",42.37,22.83
"296","MED","VallondeProvence.deBeaulieu.1977","lcRwuwEJUSPd5BtSkfF","Marsh","Pollen (calibrated)","pollen","Annual","P","positive","de Beaulieu, J.L., 1977. Contribution pollenanalytique a l'histoire tardiglaciaire et Holocene de la vegetation des Alpes meridionales francaices. Doctoral dissertation. Universite d'Aix-Marseille, Marseille, France.","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.9 - 2.9",80,"6","2420",44.39,6.4
"297","MED","VallondeProvence.deBeaulieu.1977","lcRtoAUZCUcuHH7pJF4","Marsh","Pollen (calibrated)","pollen","Annual","P","positive","de Beaulieu, J.L., 1977. Contribution pollenanalytique a l'histoire tardiglaciaire et Holocene de la vegetation des Alpes meridionales francaices. Doctoral dissertation. Universite d'Aix-Marseille, Marseille, France.","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.9 - 2.9",70,"6","2420",44.39,6.4
"298","NAO","OC437_07_GC27","WEB801cc768","MarineSediment","Leaf Wax (δD)","dDwax","Annual","P","positive","https://doi.org/10..1126/sciadv.1601503","https://www.ncei.noaa.gov/access/paleo-search/study/21091","12 - 0.9",342,"5","4400",30.88,-10.51
"299","NAU","Bromfield.Kershaw.1975a","OLS_RwqOkY17CbA","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",-17.38,145.55
"300","NAU","Euramoo.Kershaw.1970","OLS_Rr8es7LpU7s","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",-17.17,145.63
"301","NAU","KNI-51.Denniston.2013","S2LRhTtQNZMrVu","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1016/j.quascirev.2013.08.004","http://dx.doi.org/10.17864/1947.256","12 - 0",3,"84","1537",-15.3,128.62
"302","NAU","LynchsCrater.Kershaw.1974","OLS_RFZ5ftnO2t2","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",-17.37,145.7
"303","NCA","AlbercaLake.Wogau.2019","WEBcdfe38ba","LakeSediment","Other (not calibrated)","Ti","Annual","P","positive","https://doi.org/10.1016/j.quascirev.2019.106001","https://www.ncei.noaa.gov/access/paleo-search/study/29972","6.7 - 0",0,"9","2090",20.38,-101.2
"304","NCA","AlbercaLake.Wogau.2019","WEB2b6a96dc","LakeSediment","Other (not calibrated)","Ti/Ca","Annual","P-E","positive","https://doi.org/10.1016/j.quascirev.2019.106001","https://www.ncei.noaa.gov/access/paleo-search/study/29972","6.7 - 0",0,"9","2090",20.38,-101.2
"305","NCA","Chiconahuapan.Tropical.1984","OLS_R2IDZP9z5wp","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",19.13,-99.67
"306","NCA","Cochise.Damon.1963","OLS_Rtetfy6NJzz","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",32.13,-109.85
"307","NCA","Elsinore.Kirby.2019","WEBc66a4fba","LakeSediment","Lake Sediment (δ18O)","d18O","Summer","P","negative","https://doi.org/10.3389/feart.2019.00074","www.ncdc.noaa.gov/paleo/study/30232","10.9 - 0",15,"17","2430",33.67,-117.35
"308","NCA","Elsinore.Kirby.2019","WEBa4950857","LakeSediment","Other (not calibrated)","particle size","Winter","P","positive","https://doi.org/10.3389/feart.2019.00074","www.ncdc.noaa.gov/paleo/study/30232","10.9 - 0",10,"17","2430",33.67,-117.35
"309","NCA","LagunaDeJuanacatlan.Jones.2015","LPD91196716","LakeSediment","Other (not calibrated)","Ti","Annual","P","positive","https://doi.org/10.1016/j.quascirev.2015.07.004","https://doi.org/10.25921/3vcw-7793","5.8 - 0",1,"22","768",20.63,-104.74
"310","NCA","LakeCochise.Waters.1989","pdRNyQeqaj6PkSQYY4b","Shoreline","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Waters (1989)","https://www.ncdc.noaa.gov/paleo/study/28771","10 - 0",302,"Shoreline Dates","Not Available",32.17,-109.87
"311","NCA","Leconte.Hubbs.1960","OLS_Rt3bq8OIkfc","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",33.33,-116
"312","NCA","Mexico.Limbrey.1976","OLS_RTsihKwmPMu","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",19.5,-99
"313","NCA","MiddenCluster5.Harbert.2018","WEB773f70f5","Midden","Other (calibrated)","macrofossils","Annual","P","positive","https://doi.org/10.5334/oq.46","geochange.er.usgs.gov/midden/","7.7 - 0",106,"Not Available","Not Available",32.47,-106.02
"314","NCA","MiddenCluster5.Harbert.2018","WEBf0c97cde","Midden","Other (calibrated)","macrofossils","Annual","P-E","positive","https://doi.org/10.5334/oq.46","geochange.er.usgs.gov/midden/","7.7 - 0",106,"Not Available","Not Available",32.47,-106.02
"315","NCA","MiddenCluster6.Harbert.2018","WEBf3bcbd67","Midden","Other (calibrated)","macrofossils","Annual","P","positive","https://doi.org/10.5334/oq.46","geochange.er.usgs.gov/midden/","12 - 0",185,"Not Available","Not Available",32.47,-106.02
"316","NCA","MiddenCluster6.Harbert.2018","WEBc7c1ae1d","Midden","Other (calibrated)","macrofossils","Annual","P-E","positive","https://doi.org/10.5334/oq.46","geochange.er.usgs.gov/midden/","12 - 0",178,"Not Available","Not Available",32.47,-106.02
"317","NCA","MiddenCluster8.Harbert.2018","WEB8163f7a4","Midden","Other (calibrated)","macrofossils","Annual","P","positive","https://doi.org/10.5334/oq.46","geochange.er.usgs.gov/midden/","12 - 0.1",93,"Not Available","Not Available",32.31,-109.1
"318","NCA","MiddenCluster8.Harbert.2018","WEBf52f4207","Midden","Other (calibrated)","macrofossils","Annual","P-E","positive","https://doi.org/10.5334/oq.46","geochange.er.usgs.gov/midden/","12 - 0.1",93,"Not Available","Not Available",32.31,-109.1
"319","NCA","MiddenCluster9.Harbert.2018","WEB00c20586","Midden","Other (calibrated)","macrofossils","Annual","P","positive","https://doi.org/10.5334/oq.46","geochange.er.usgs.gov/midden/","12 - 0.6",195,"Not Available","Not Available",31.64,-115.55
"320","NCA","MiddenCluster9.Harbert.2018","WEBbae8d58a","Midden","Other (calibrated)","macrofossils","Annual","P-E","positive","https://doi.org/10.5334/oq.46","geochange.er.usgs.gov/midden/","12 - 0.6",195,"Not Available","Not Available",31.64,-115.55
"321","NCA","NBJ2015iso.Wong.2015","WEB02d26251","Speleothem","Speleothem (other)","Sr","Annual","P-E","negative","https://doi.org/10.1016/j.quascirev.2015.06.023","https://doi.org/10.25921/3vcw-7793","7 - 0.1",35,"Not Available","Not Available",29.69,-98.34
"322","NCA","Patzcuaro.Watts.1982","OLS_ROkPLG6ezuC","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",19.58,-101.58
"323","NCA","PinkPanthercave.Asmerom.2007","S2LRZakzwznzEB","Speleothem","Speleothem (δ18O)","d18O","Annual","P","negative","https://doi.org/10.1130/G22865A.1","http://dx.doi.org/10.17864/1947.256","12 - 0",17,"35","1140",32,-105.2
"324","NCA","SanJoaquinMarsh.Davis.1992","lcR3h58B1xMNHkPYwiY","Peat","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/0033-5894(92)90008-7","https://doi.pangaea.de/10.1594/PANGAEA.930512","8.8 - 0",150,"7","3470",33.66,-117.86
"325","NEAF","Abhe.Mologni.2021","WEB6e660f3d","LakeDeposit","Shoreline (Lake Level)","Stratigraphy","Annual","P-E","positive","https://doi.org/10.1016/j.geomorph.2021.107896","https://doi.org/10.1016/j.geomorph.2021.107896","11.1 - 0.1",93,"Shoreline Dates","Not Available",11.2,41.77
"326","NEAF","Aden.Tierney.2013","LPD8e619296","MarineSediment","Leaf Wax (δD)","dDwax","Annual","P-E","negative","https://doi.org/10.1126/science.1240411","https://www.ncei.noaa.gov/access/paleo-search/study/15537","12 - 0",186,"9","2893",11.96,44.3
